"NA0K0144070014070001" 0.0 1.0
"NA0K0144060014060001" 0.0 1.0
"NA0K0144050014050001" 0.0 1.0
"NA0K0144040014040001" 0.0 1.0
"NA0K0144030014030001" 0.0 1.0
"NA0K0144010014010001" 0.0 1.0
"NA0K0141230114030001" 0.0 1.0
"NA0K0141230014040001" 0.0 1.0
"NA0K0141230014030001" 0.0 1.0
"NA0K0114060014050001" 0.0 1.0
"NA0K0114050014060001" 0.0 1.0
"NA0K0114050014030001" 0.0 1.0
"NA0K0114050014010001" 0.0 1.0
"NA0K0114040014030001" 0.0 1.0
"NA0K0114040014020001" 0.0 1.0
"NA0K0114040011220001" 0.0 1.0
"NA0K0114040011100001" 0.0 1.0
"NA0K0114030014040001" 0.0 1.0
"NA0K0114030014020001" 0.0 1.0
"NA0K0114030011230101" 0.0 1.0
"NA0K0114020014040001" 0.0 1.0
"NA0K0114020014010001" 0.0 1.0
"NA0K0114020011210001" 0.0 1.0
"NA0K0114010014020001" 0.0 1.0
"NA0K0114010011240001" 0.0 1.0
"NA0K0111210011100001" 0.0 1.0
